Container Number,Repacking Date,WH,Raw material ,Procesisng Type,Processing Type EN,Rpin,Pallets Number,Count of CartonsBins,Total Carton Weight KG,Total Bin Weight KG,FG ,FG Carton,Defects KG,Rotted KG,Month,Week,RM Code,RM Des,FG Code,FG Des,Unitcarton,Cartonpallet,Unitpallet,Act FG KG,FG STD KG,Material STD KG,Shrinkage Kgs,Over-weight kgs,Juice Apple kg,Packout,Shrinkage Kgs%,Over-weight kgs%,Juice Apple kg%,DATE&RPIN,Container&RPIN,Repacking Date&WH,Remark,????KG?,Defects KG ??
OERU4077210,24/05/2025,SH,63mmT bin,??,repacking,R2329,00394198062500450758,1,0,352KG,67/5 Rocki,32,82KG,0Kg,5,Wk21,ROC117818563117,Rockit Apple 63Tmm Export Bin (63/5W),RK107515567170,Rockit Apple 67/5 Rocki,15,112,1680,270KG,7.85,360,-8KG,18.8KG,82,71.36%,2%,5%,23%,250524R2329,OERU4077210R2329,20250524SH,,,
TEMU9902779,24/05/2025,SH,67mm bin,??,repacking,R1230,"00394198062500236307
00394198062500245095
00394198062500245163",7,0,2349KG,67/5 Rocki,206,604KG,2Kg,5,Wk21,ROC170655067170,Rockit Apple 67mm Export Bin (67/0W),RK107515567170,Rockit Apple 67/5 Rocki,15,112,1680,1743KG,7.85,360,-171KG,125.9KG,606,68.84%,7%,5%,26%,250524R1230,TEMU9902779R1230,20250524SH,,,
MNBU4346931,24/05/2025,SH,67mm bin,??,repacking,R2919,00394198062590090003,1,0,347KG,67/5 Rocki,36,81KG,0Kg,5,Wk21,ROC170655067170,Rockit Apple 67mm Export Bin (67/0W),RK107515567170,Rockit Apple 67/5 Rocki,15,112,1680,266KG,7.85,360,-13KG,0KG,81,76.66%,4%,0%,23%,250524R2919,MNBU4346931R2919,20250524SH,,,
CGMU5454436,22/05/2025,SZ,52-63mm Mixed bin ????,??,repacking,R1580,00394198062500292068,3,0,1090KG,LFP ????,80,284KG,6.93KG,5,Wk21,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,799.07KG,9.72,360,0KG,21.47KG,291,71.34%,0%,2%,27%,250522R1580,CGMU5454436R1580,20250522SZ,,,
TTNU8835302,22/05/2025,SZ,52-63mm Mixed bin ????,??,repacking,R1580,00394198062500303061,3,0,1021.5KG,LFP ????,82,291KG,7.2KG,5,Wk21,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,723.3KG,9.72,360,-58.5KG,0KG,298,70.81%,6%,0%,29%,250522R1580,TTNU8835302R1580,20250522SZ,,,
TTNU8835302,23/05/2025,SZ,52-63mm Mixed bin ????,??,repacking,R1580,"00394198062500303436
00394198062500304051
00394198062500302651
00394198062500302903
00394198062500289587
00394198062500302569",16,0,5729.5KG,LFP ????,423,1437.3KG,33.7KG,5,Wk21,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,4258.5KG,9.72,360,-30.5KG,146.94KG,"1,471",71.76%,1%,3%,26%,250523R1580,TTNU8835302R1580,20250523SZ,,,
OTPU6560955,24/05/2025,SZ,63/5  Rocki,??,Rework,R2919,25050893,15,91.2,1200,63/5*3,67,195,0,5,Wk21,RK108016563195,Rockit Apple 63/5 Normal Rocki,63/5*3,63/5*3,3,0,0,-103.8KG,0,6.08,0KG,0KG,195,83.75%,0%,0%,16%,250524R2919,OTPU6560955R2919,20250524SZ,??,0.0778,15.171
TEMU9322282,24/05/2025,SZ,63/5  Rocki,??,Rework,"R2919
R1262
R2534","25020995
25022319
25021985",380,2310.4,30400,63/5  Rocki,316,5120,0,5,Wk21,RK108016563195,Rockit Apple 63/5 Normal Rocki,RK108016563195,Rockit Apple 63/5 Normal Rocki,16,128,2048,-2809.6KG,6.08,6.08,0KG,0KG,"5,120",83.16%,0%,0%,17%,"250524R2919
R1262
R2534","TEMU9322282R2919
R1262
R2534",20250524SZ,??,0.0778,398.336
"CXRU1485982
FBIU5066349
SEGU9532641",24/05/2025,SZ,63/5T Rocki,??,Rework,R2919,"25013577
25039867
25013157
25013782
25013515",722,5075.7,57760,63/5T Rocki,609,9040,0,5,Wk21,RK108016563117,Rockit Apple 63/5T Rocki,RK108016563117,Rockit Apple 63/5T Rocki,16,112,1792,-3964.34KG,7.03,7.03,0KG,0KG,"9,040",84.35%,0%,0%,16%,250524R2919,"CXRU1485982
FBIU5066349
SEGU9532641R2919",20250524SZ,??,0.088,795.52
SZLU9418329,25/05/2025,SZ,63mm bin,??,repacking,R2919,"00394198062500166062
00394198062500178232",6,0,2118KG,63/5  Rocki,267,385.2,14,5,Wk22,ROC195923063195,Rockit Apple 63mm Export Bin (63/0W),RK108016563195,Rockit Apple 63/5 Normal Rocki,16,128,2048,1718.8KG,6.08,360,-42KG,95.44KG,399,76.65%,2%,5%,19%,250525R2919,SZLU9418329R2919,20250525SZ,,,
SZLU9418329,25/05/2025,SZ,63mm bin,??,repacking,R1230,00394198062500154922,3,0,1059KG,63/5  Rocki,134,193,7,5,Wk22,ROC195923063195,Rockit Apple 63mm Export Bin (63/0W),RK108016563195,Rockit Apple 63/5 Normal Rocki,16,128,2048,859KG,6.08,360,-21KG,44.28KG,200,76.93%,2%,4%,19%,250525R1230,SZLU9418329R1230,20250525SZ,,,
MEDU9221999,25/05/2025,SZ,63mm bin,??,repacking,R1580,00394198062500384176,3,0,1068KG,63/5  Rocki,133,194,7,5,Wk22,ROC195923063195,Rockit Apple 63mm Export Bin (63/0W),RK108016563195,Rockit Apple 63/5 Normal Rocki,16,128,2048,867KG,6.08,360,-12KG,58.36KG,201,75.72%,1%,5%,19%,250525R1580,MEDU9221999R1580,20250525SZ,,,
MEDU9221999,25/05/2025,SZ,63mm bin,??,repacking,R1936,00394198062500400180,3,0,1060KG,63/5  Rocki,133,192.6,7,5,Wk22,ROC195923063195,Rockit Apple 63mm Export Bin (63/0W),RK108016563195,Rockit Apple 63/5 Normal Rocki,16,128,2048,860.4KG,6.08,360,-20KG,51.76KG,200,76.29%,2%,5%,19%,250525R1936,MEDU9221999R1936,20250525SZ,,,
OERU4077210,25/05/2025,SZ,67mm bin,??,repacking,R2919,00394198062500447079,3,0,1047KG,67/5 Rocki,89,214,5,5,Wk22,ROC170655067170,Rockit Apple 67mm Export Bin (67/0W),RK107515567170,Rockit Apple 67/5 Rocki,15,112,1680,828KG,7.85,360,-33KG,129.35KG,219,66.73%,3%,12%,21%,250525R2919,OERU4077210R2919,20250525SZ,,,
OERU4077210,25/05/2025,SZ,67mm bin,??,repacking,R2329,00394198062500450680,3,0,1036KG,67/5 Rocki,89,215,5,5,Wk22,ROC170655067170,Rockit Apple 67mm Export Bin (67/0W),RK107515567170,Rockit Apple 67/5 Rocki,15,112,1680,816KG,7.85,360,-44KG,117.35KG,220,67.44%,4%,11%,21%,250525R2329,OERU4077210R2329,20250525SZ,,,
MNBU9063718,26/05/2025,SH,52-63mm Mixed bin ????,??,repacking,R2879,"00394198062563280001
00394198062563280007",2,0,646KG,LFP ????,44,252KG,0Kg,5,Wk22,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,394KG,9.72,360,-74KG,0KG,252,60.99%,11%,0%,39%,250526R2879,MNBU9063718R2879,20250526SH,,,
MNBU9063718,26/05/2025,SH,52-63mm Mixed bin ????,??,repacking,R1262,"00394198062562780001
00394198062561850005
00394198062561850004
00394198062561850006",4,0,1405KG,LFP ????,95,503KG,0Kg,5,Wk22,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,902KG,9.72,360,-35KG,0KG,503,64.20%,2%,0%,36%,250526R1262,MNBU9063718R1262,20250526SH,,,
CGMU5623449,26/05/2025,SH,52-63mm Mixed bin ????,??,repacking,R1580,"00394198062500295298
00394198062500302491
00394198062500306826",9,0,2970KG,LFP ????,210,1132KG,0Kg,5,Wk22,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,1838KG,9.72,360,-270KG,0KG,"1,132",61.89%,9%,0%,38%,250526R1580,CGMU5623449R1580,20250526SH,,,
MNBU4285538,26/05/2025,SH,63/5  Rocki,??,Rework,R2919,394198062500302000 ,11,66.9,880,63/5  Rocki,9,130,0,5,Wk22,RK108016563195,Rockit Apple 63/5 Normal Rocki,RK108016563195,Rockit Apple 63/5 Normal Rocki,16,128,2048,-63.12KG,6.08,6.08,0KG,0KG,130,85.23%,0%,0%,15%,250526R2919,MNBU4285538R2919,20250526SH,??,0.0778,10.114
TTNU8835302,26/05/2025,SZ,52-63mm Mixed bin ????,??,repacking,R1580,394198062500306000 ,15,0,5176KG,LFP ????,365,1738KG,28.2Kg,5,Wk22,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,3409.8KG,9.72,360,-224KG,0KG,"1,766",65.88%,4%,0%,34%,250526R1580,TTNU8835302R1580,20250526SZ,,,
OTPU6560955,26/05/2025,SZ,72mm Z Pack Tray,??,repacking,R2886,25033124,49,0,811,72/4,101,131,0,5,Wk22,ROC1201072120,Rockit Apple 72mm Tray (72/0),ROC04812472120,Rockit Apple 72/4 424g,12,128,1536,680.376KG,6.08,16.5,0KG,66.296KG,131,75.68%,0%,8%,16%,250526R2886,OTPU6560955R2886,20250526SZ,,,
MNBU3808911,27/05/2025,SH,63mmT bin,??,repacking,R1580,"00394198062500370759
00394198062500374917
00394198062500377918
00394198062500379622",11,0,3762KG,67/5 Rocki,370.33,1176KG,5Kg,5,Wk22,ROC117818563117,Rockit Apple 63Tmm Export Bin (63/5W),RK107515567170,Rockit Apple 67/5 Rocki,15,112,1680,2581KG,7.85,360,-198KG,0KG,"1,181",68.61%,5%,0%,31%,250527R1580,MNBU3808911R1580,20250527SH,,,
TEMU9902779,27/05/2025,SH,67mm bin,??,repacking,R1230,"00394198062556450002
00394198062554160003
00394198062556450003
00394198062556450001
00394198062556570002
00394198062554320001
00394198062554320002
00394198062551600001
00394198062551600003
00394198062551600002",10,0,3420KG,67/5 Rocki,334.98,1064KG,4.3Kg,5,Wk22,ROC170655067170,Rockit Apple 67mm Export Bin (67/0W),RK107515567170,Rockit Apple 67/5 Rocki,15,112,1680,2351.7KG,7.85,360,-162KG,0KG,"1,068",68.76%,5%,0%,31%,250527R1230,TEMU9902779R1230,20250527SH,,,
MNBU3808911,27/05/2025,SH,63mmT bin,??,repacking,R1580,00394198062500370759,2,0,682KG,63/1,197,223KG,0,5,Wk22,ROC117818563117,Rockit Apple 63Tmm Export Bin (63/5W),Rockit Apple 63/1,Rockit Apple 63/1 70g,32,224,7168,459KG,3.1232,360,-38KG,0KG,223,67.30%,6%,0%,33%,250527R1580,MNBU3808911R1580,20250527SH,,,
"TTNU8056236
PCIU6089799",27/05/2025,SH,63/5T Rocki,??,Rework,"R2886
R1230
R1262","25028472
25014420
25016462",258,1813.7,20640,63/5T Rocki,218,2906,294,5,Wk22,RK108016563117,Rockit Apple 63/5T Rocki,RK108016563117,Rockit Apple 63/5T Rocki,16,112,1792,-1386.26KG,7.03,7.03,0KG,0KG,"3,200",84.50%,0%,0%,16%,"250527R2886
R1230
R1262","TTNU8056236
PCIU6089799R2886
R1230
R1262",20250527SH,??,0.088,255.728
"MNBU4478394
CAIU5690132
TTNU8056236
MNBU4526661",28/05/2025,SH,63/5T Rocki,??,Rework,"R1262
R2937
R1095
R2710","25027666
25027697
25038242
25028472
25028328",306,2151.2,24480,63/5T Rocki,264,2960,400,5,Wk22,RK108016563117,Rockit Apple 63/5T Rocki,RK108016563117,Rockit Apple 63/5T Rocki,16,112,1792,-1208.82KG,7.03,7.03,0KG,0KG,"3,360",86.27%,0%,0%,14%,"250528R1262
R2937
R1095
R2710","MNBU4478394
CAIU5690132
TTNU8056236
MNBU4526661R1262
R2937
R1095
R2710",20250528SH,??,0.088,260.48
CGMU9406143,27/05/2025,SZ,53-58mm Mixed bin ????,??,repacking,R1936,00394219037825017711,3,0,1044KG,SFP ????,115,170KG,3Kg,5,Wk22,ROC25312280140253,Rockit Apple Mixed 53-58mm Export Bin (140/0W),Rockit Apple SFP,Rockit Apple 52-58 Family Pack 10T,11,70,770,871KG,6.63,360,-36KG,108.55KG,173,73.03%,3%,10%,17%,250527R1936,CGMU9406143R1936,20250527SZ,,,
CGMU9406143,27/05/2025,SZ,53-58mm Mixed bin ????,??,repacking,R2929,00394219037825018046,2,0,701KG,SFP ????,74,121KG,2Kg,5,Wk22,ROC25312280140253,Rockit Apple Mixed 53-58mm Export Bin (140/0W),Rockit Apple SFP,Rockit Apple 52-58 Family Pack 10T,11,70,770,578KG,6.63,360,-19KG,87.38KG,123,69.99%,3%,12%,18%,250527R2929,CGMU9406143R2929,20250527SZ,,,
OTPU6560955,27/05/2025,SZ,72mm Z Pack Tray,??,repacking,R2919,"25031205
25030802",98,0,1623,72/4,206,225.552,0Kg,5,Wk22,ROC1201072120,Rockit Apple 72mm Tray (72/0),ROC04812472120,Rockit Apple 72/4 424g,12,128,1536,1397.328KG,6.08,16.5,0KG,144.848KG,226,77.18%,0%,9%,14%,250527R2919,OTPU6560955R2919,20250527SZ,,,
SZLU9585917,28/05/2025,SZ,52-63mm Mixed bin ????,??,repacking,R1580,00394198062500319147,3,0,1035KG,LFP ????,80,316KG,6.5Kg,5,Wk22,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,712.5KG,9.72,360,-45KG,0KG,323,68.84%,4%,0%,31%,250528R1580,SZLU9585917R1580,20250528SZ,,,
