Repacking Date,Month,Week,WH,Raw material Code,Raw Des,Procesisng Type,Rpin,Container Number,Pallets Number,Count of Cartons/Bins,Total Bin Weight KG,Shrinkage Kgs,Shrinkage %,FG Code,FG Des,Units/carton,FG Specification,Carton/Pallet,FG Pallets,FG Carton,FG Unit,FG Weight,FG Standard Weight,Overweight KG,Defects KG,Rotted KG,Defect rate,Labor cost,FG Sample,Puntures,The Rate of Spoilted ,Bruise,The Rate of Cosmetic,JA Sample,Export Fruit,The Rate of Export Fruit,Remark,Processing Number,Juice Apple(KG),The Rate of Overweight KG,The Rate of Juice Apple(KG),Packout,Arrival Date,Arrival Date&Container Number,Container&RPIN,Month,DATE,Date&Rpin,Standard weight
26/03/2025,3,13,SH,ROC14033300140,Large Family Pack bins (0/0M),Repacking,R2534,CGMU5559247,"00394198062500193013
00394198062500193068",6,2052KG,-108KG,-0.052631579KG,ROC144916165140,Large Family Pack,9,9??,44,3.295454545,145,1305,1423.8KG,1.082KG,11.79KG,621Kg,7.2Kg,0.311885965Kg,1978,50,,,,,,,,,,628.2,0.57%,30.61%,68.81%,250324,250324CGMU5559247,CGMU5559247R2534,3,250326,250326R2534,9.738
26/03/2025,3,13,SH,ROC14033300140,Large Family Pack bins (0/0M),Repacking,R1230,CGMU5559247,"00394198062500194430
00394198062500194652
00394198062500195598
00394198062500195604",12,4116KG,-204KG,-0.049562682KG,ROC144916165140,Large Family Pack,9,9??,44,5.954545455,262,2358,2371KG,1.082KG,0KG,1731KG,14Kg,0.423955296Kg,3795,150,,,,,,,,,,1745,0.00%,42.40%,57.60%,250324,250324CGMU5559247,CGMU5559247R1230,3,250326,250326R1230,9.738
5/04/2025,4,14,SH,ROC14033300140,Large Family Pack bins (0/0M),Repacking,R2925,CGMU5559247,"00394198062500134658
00394198062500134689
00394198062500134825",9,3098KG,-142KG,-0.045836023KG,ROC144916165140,Large Family Pack,9,9??,44,5.068181818,223,2007,2156KG,1.082KG,0KG,931KG,11Kg,0.30406714Kg,3128,150,,,,,,,,,,942,0.00%,30.41%,69.59%,250324,250324CGMU5559247,CGMU5559247R2925,4,250405,250405R2925,9.738
27/03/2025,3,13,SH,ROC117818563117,Rockit Apple 63mm Export Bins (63/5W),Repacking,R2919,SZLU9888106,"00394198062500164549
00394198062500166024
00394198062500166031
00394198062500166093",12,4105KG,-215KG,-0.052375152KG,ROC08016563117,63/5t,16,63/5T*16,112,4.642857143,520,8320,3058KG,0.44KG,0KG,1033KG,14Kg,0.255054811Kg,3795,100,,,,,,,,,,1047,0.00%,25.51%,74.49%,250325,250325SZLU9888106,SZLU9888106R2919,3,250327,250327R2919,7.04
28/03/2025,3,13,SH,ROC117818563117,Rockit Apple 63mm Export Bins (63/5W),Repacking,R2919,SZLU9888106,"00394198062500166222
00394198062500166239",6,2073KG,-87KG,-0.041968162KG,ROC08016563117,63/5t,16,63/5T*16,112,2.339285714,262,4192,1534KG,0.44KG,0KG,531KG,8Kg,0.260009648Kg,1978,80,,,,,,,,,,539,0.00%,26.00%,74.00%,250325,250325SZLU9888106,SZLU9888106R2919,3,250328,250328R2919,7.04
29/03/2025,3,13,SH,ROC117818563117,Rockit Apple 63mm Export Bins (63/5W),Repacking,R2919,SZLU9888106,"00394198062500166864
00394198062500169438
00394198062500176672
00394198062500176719",12,4142KG,-178KG,-0.042974408KG,ROC08016563117,63/5t,16,63/5T*16,112,4.732142857,530,8480,3100KG,0.44KG,0KG,1028KG,14Kg,0.25156929Kg,8050,200,,,,,,,,,,1042,0.00%,25.16%,74.84%,250325,250325SZLU9888106,SZLU9888106R2919,3,250329,250329R2919,7.04
29/03/2025,3,13,SH,ROC117818563117,Rockit Apple 63mm Export Bins (63/5W),Repacking,R2919,SZLU9888106,"00394198062500178386
00394198062500178393
00394198062500178447
00394198062500178461",12,4146KG,-174KG,-0.041968162KG,ROC08016563117,63/5t,16,63/5T*16,112,2.776785714,311,4976,2939KG,0.44KG,749.56KG,1192KG,15Kg,0.471915099Kg,,120,,,,,,,,,,1207,18.08%,29.11%,52.81%,250325,250325SZLU9888106,SZLU9888106R2919,3,250329,250329R2919,7.04
29/03/2025,3,13,SH,ROC117818563117,Rockit Apple 63mm Export Bins (63/5W),Repacking,R2919,SZLU9888106,,,1698KG,1698KG,1KG,ROC07515567170,67/5,15,67/5*15,112,2.0625,231,3465,1698KG,0.555KG,0KG,0KG,,0Kg,,80,,,,,,,,,,0,0.00%,0.00%,100.00%,250325,250325SZLU9888106,SZLU9888106R2919,3,250329,250329R2919,8.325
30/03/2025,3,14,SH,ROC25312280140253,Small Family Pack Bin (140/0M),Repacking,R2919,SZLU9888106,"‘00394198062500173763
00394198062500178225
00394198062500178287
00394198062500178379",12,4138KG,-182KG,-0.0439826KG,500100931,Large Family Pack,9,9??,44,7.386363636,325,2925,3091KG,1.082KG,0KG,1033KG,14Kg,0.253020783Kg,6647,150,,,,,,,,,,1047,0.00%,25.30%,74.70%,250325,250325SZLU9888106,SZLU9888106R2919,3,250330,250330R2919,9.738
30/03/2025,3,14,SH,ROC25312280140253,Small Family Pack Bin (140/0M),Repacking,R2900,SZLU9888106,"’00394198062500155332
00394198062500160398",6,2068KG,-92KG,-0.044487427KG,500100931,Large Family Pack,9,9??,44,3.681818182,162,1458,1529KG,1.082KG,0KG,531KG,8Kg,0.260638298Kg,,100,,,,,,,,,,539,0.00%,26.06%,73.94%,250325,250325SZLU9888106,SZLU9888106R2900,3,250330,250330R2900,9.738
